French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
aide,help
demande,request
genre,kind
mois,month
frère,brother
laisser,let
mettre,to put
aucun,no
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
place,square
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
type,type
leurs,their
donné,given
corps,body
endroit,place
yeux,eyes
écoute,listen
trouve,find
premier,first
perdu,lost
côté,side
pouvoir,power
sois,be
matin,morning
tellement,so much
point,point
venu,came
suite,after
pardon,sorry
devant,in front of
minutes,minutes
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aujourd'hui,today
mari,husband
cause,cause
eau,water
attendez,Wait
nouvelle,new
dirait,would say
compte,account
donne,given
loin,far
fin,end
gros,large
plutôt,rather
filles,girls
bureau,office
